accident_ticker,died_of_age_ticker,died,new_borns,birth_ticker,death_ticker,population_num
2,4,"['Ann Comnick', 'Mary Comnick', 'John Denko', 'Susan Comnick', 'Annie Comnick', 'Kevin Comnick']","['David Comnick', 'Misty Comnick', 'Angie Comnick', 'Stacey Comnick', 'Kathryn Comnick', 'Crystal Comnick', 'Gladys Comnick', 'Genevieve Denko', 'Kim Comnick', 'John Comnick', 'Michelle Comnick', 'Sophia Comnick', 'Richard Denko', 'Norma Comnick', 'Donna Comnick', 'James Comnick', 'George Denko', 'Maryann Comnick', 'Danny Denko', 'Brandon Comnick', 'Haley Denko', 'Martin Denko', 'Suzanne Denko', 'James Comnick']",24,6,327
6,2,"['Leslie Comnick', 'Beverly Comnick', 'Amy Comnick', 'Helen Comnick', 'Shannon Comnick', 'Edward Comnick', 'Donald Comnick', 'Tristan Comnick']",['Mary Comnick'],1,8,345
7,2,"['Jean Comnick', 'Jason Comnick', 'Stanley Comnick', 'Virgil Comnick', 'Robert Comnick', 'Mary Denko', 'Roberta Comnick', 'Scott Comnick', 'John Comnick']","['Gary Comnick', 'Jeanne Comnick', 'Lucille Comnick', 'Eric Comnick', 'Helen Comnick', 'Stephine Denko', 'Suzanne Comnick', 'Paul Comnick', 'Joyce Comnick', 'Elroy Comnick', 'Johnathan Comnick', 'Barbara Comnick', 'Stacy Comnick', 'Marcus Comnick', 'Rene Comnick', 'Edward Denko', 'Nikki Comnick', 'Dion Comnick', 'Sean Denko']",19,9,338
7,2,"['Julie Comnick', 'Betty Comnick', 'Rebecca Denko', 'Consuelo Comnick', 'Kevin Denko', 'Kimberly Comnick', 'Grace Comnick', 'Rosemary Comnick', 'Curtis Comnick']",[],0,9,348
2,2,"['Mary Comnick', 'Shirley Comnick', 'Grace Comnick', 'Mark Comnick']","['Norma Denko', 'Delma Comnick', 'Eve Comnick', 'John Comnick', 'Philip Denko', 'Jim Comnick', 'Dustin Comnick', 'John Denko', 'Andrew Denko', 'Christine Comnick', 'William Denko', 'Lonnie Comnick']",12,4,339
1,1,"['John Comnick', 'Tiffiny Denko']","['Matthew Denko', 'Mark Comnick', 'Whitney Comnick']",3,2,347
3,1,"['Bruce Comnick', 'Julia Denko', 'Sylvia Comnick', 'Sandra Comnick']","['Eddie Comnick', 'Christine Comnick', 'Ronald Denko', 'Antonio Denko']",4,4,348
4,1,"['Gregory Comnick', 'Arlene Comnick', 'Keisha Comnick', 'Kathryn Comnick', 'Paul Comnick']","['Joseph Comnick', 'Arthur Denko', 'Rose Denko', 'Michelle Comnick', 'Maurice Comnick', 'Soledad Comnick', 'Augustine Comnick', 'Kristi Denko', 'Cheryl Denko', 'Dan Denko', 'Gordon Comnick', 'Dorothy Denko']",12,5,348
1,0,['Cynthia Comnick'],"['John Comnick', 'Michael Comnick']",2,1,355
5,1,"['Ethel Comnick', 'Denise Comnick', 'Lisa Comnick', 'Humberto Comnick', 'Sylvia Comnick', 'Toni Comnick']","['Gilbert Comnick', 'Keith Comnick', 'Diane Comnick', 'Lisabeth Comnick', 'Dennis Denko', 'Monique Comnick', 'Kirk Comnick', 'Dionne Denko', 'Nancy Comnick', 'Norman Comnick', 'Benjamin Comnick', 'Kay Comnick', 'John Comnick', 'Michael Comnick', 'David Comnick', 'Nicky Comnick', 'Jackie Comnick', 'Mary Comnick', 'Guy Comnick', 'Steve Comnick', 'Johnny Comnick', 'Patricia Denko', 'Donna Comnick', 'Graham Comnick']",24,6,356
5,0,"['Ann Comnick', 'Shelia Denko', 'Paul Comnick', 'Michelle Comnick', 'Monique Comnick']",['Isabelle Denko'],1,5,374
